class,ap,best_threshold
aeroplane,0.9909090909090909,0.45000000000000007
bicycle,0.9666666666666666,0.8500000000000002
bird,0.9765432098765434,0.6500000000000001
boat,1.0,0.7000000000000002
bottle,0.764483675673192,0.7500000000000002
bus,0.976190476190476,0.7000000000000002
car,0.8974358974358975,0.6500000000000001
cat,0.9921568627450981,0.6500000000000001
chair,0.8308039847306152,0.7500000000000002
cow,1.0,0.5000000000000001
diningtable,0.5731837606837606,0.7500000000000002
dog,0.8564951006440368,0.45000000000000007
horse,0.8832644628099173,0.9000000000000002
motorbike,0.9435736677115989,0.6500000000000001
person,0.9427874726251543,0.8500000000000002
pottedplant,0.7916036262914296,0.6500000000000001
sheep,0.8409090909090909,0.6000000000000002
sofa,0.7582051282051281,0.6000000000000002
train,1.0000000000000002,0.5000000000000001
tvmonitor,0.88007215007215,0.7500000000000002
