class,ap,best_threshold
aeroplane,0.9588235294117647,0.8000000000000002
bicycle,0.837037037037037,0.8000000000000002
bird,0.9273504273504274,0.5500000000000002
boat,0.9924242424242424,0.8000000000000002
bottle,0.7998532800847398,0.7000000000000002
bus,0.976190476190476,0.6000000000000002
car,0.8663461538461538,0.7000000000000002
cat,0.95,0.5500000000000002
chair,0.8071076103119448,0.7500000000000002
cow,1.0,0.6000000000000002
diningtable,0.6752136752136751,0.8500000000000002
dog,0.7737955160111887,0.5500000000000002
horse,0.881993006993007,0.8000000000000002
motorbike,0.9222488038277512,0.6500000000000001
person,0.9371771102883812,0.8000000000000002
pottedplant,0.6029851485110802,0.5500000000000002
sheep,0.7375,0.6000000000000002
sofa,0.6668803418803418,0.7000000000000002
train,1.0000000000000002,0.8000000000000002
tvmonitor,0.886024531024531,0.6500000000000001
