class,ap,best_threshold
aeroplane,0.9809090909090908,0.40000000000000013
bicycle,0.9666666666666666,0.6000000000000002
bird,0.8989247311827959,0.8000000000000002
boat,0.9805194805194806,0.7500000000000002
bottle,0.7845986783486784,0.6500000000000001
bus,0.9444444444444444,0.8000000000000002
car,0.8855158730158731,0.7500000000000002
cat,0.9109432234432233,0.6000000000000002
chair,0.7370430803764138,0.7000000000000002
cow,0.7916666666666666,0.8000000000000002
diningtable,0.3864894152250474,0.6000000000000002
dog,0.7231862812623574,0.5500000000000002
horse,0.8247685185185185,0.45000000000000007
motorbike,0.8770595985429746,0.7500000000000002
person,0.9146673184698971,0.7500000000000002
pottedplant,0.6293238489029565,0.5000000000000001
sheep,0.6506211180124224,0.9000000000000002
sofa,0.7094397759103641,0.8500000000000002
train,0.9626543209876546,0.8500000000000002
tvmonitor,0.7909379509379508,0.8000000000000002
